Franchise,team_url,F,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Golden State Warriors,https://basketball-reference.com/teams/GSW/,Golden State Warriors,NBA/BAA,1946-47,2020-21,75,5817,2804,3013,.482,35,12,6,6
Golden State Warriors,,Golden State Warriors,NBA,1971-72,2020-21,50,3985,1916,2069,.481,18,7,6,4
San Francisco Warriors,,Golden State Warriors,NBA,1962-63,1970-71,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,,Golden State Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,.506,12,3,0,2
Houston Rockets,https://basketball-reference.com/teams/HOU/,Houston Rockets,NBA,1967-68,2020-21,54,4317,2280,2037,.528,34,8,4,2
Houston Rockets,,Houston Rockets,NBA,1971-72,2020-21,50,3989,2161,1828,.542,33,8,4,2
San Diego Rockets,,Houston Rockets,NBA,1967-68,1970-71,4,328,119,209,.363,1,0,0,0
Indiana Pacers,https://basketball-reference.com/teams/IND/,Indiana Pacers,NBA/ABA,1967-68,2020-21,54,4323,2231,2092,.516,36,9,1,3
Indiana Pacers,,Indiana Pacers,NBA,1976-77,2020-21,45,3579,1804,1775,.504,27,6,1,0
Indiana Pacers,,Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,https://basketball-reference.com/teams/LAC/,Los Angeles Clippers,NBA,1970-71,2020-21,51,4075,1682,2393,.413,15,2,0,0
